                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.69823,                0.51179,                  1.282,                 0.9928,                0.94118,                   0.97,                 0.7733,                 0.7894,                0.51738,                 1.5242,              0.0070795,              0.0070795,              0.0070795
                    120,                0.68369,                0.52982,                 1.3241,                      1,                  0.998,                  0.995,                0.76842,                0.78371,                0.41592,                  1.465,              0.0070547,              0.0070547,              0.0070547
                    121,                0.67792,                0.51764,                 1.2852,                      1,                0.93612,                0.95966,                0.79941,                0.73002,                0.47879,                 1.4795,                0.00703,                0.00703,                0.00703
                    122,                0.69409,                0.51032,                  1.302,                0.93779,                      1,                0.99222,                0.83482,                 0.6816,                0.54689,                 1.3608,              0.0070053,              0.0070053,              0.0070053
                    123,                0.65422,                 0.5085,                 1.2813,                0.89244,                      1,                0.98974,                0.80649,                0.72466,                0.62107,                  1.384,              0.0069805,              0.0069805,              0.0069805
                    124,                0.66019,                0.50447,                 1.2622,                0.94279,                      1,                0.99222,                0.80315,                 0.7233,                 0.5587,                 1.4317,              0.0069558,              0.0069558,              0.0069558
                    125,                0.67057,                0.49847,                 1.2755,                0.98761,                0.94118,                0.98974,                0.81993,                 0.6693,                0.45261,                 1.3775,               0.006931,               0.006931,               0.006931
                    126,                0.62501,                0.47112,                 1.2339,                0.99991,                      1,                  0.995,                0.81909,                0.72289,                0.42782,                 1.4312,              0.0069063,              0.0069063,              0.0069063
                    127,                 0.6498,                 0.4694,                 1.2419,                      1,                0.99705,                  0.995,                0.80607,                0.76428,                0.40955,                 1.4499,              0.0068815,              0.0068815,              0.0068815
                    128,                0.65031,                 0.5061,                 1.2744,                0.99376,                0.94118,                0.99222,                0.80521,                0.71522,                0.40326,                 1.3805,              0.0068568,              0.0068568,              0.0068568
                    129,                0.64984,                0.47307,                  1.265,                      1,                0.99667,                  0.995,                0.81458,                0.72304,                0.39974,                 1.4082,               0.006832,               0.006832,               0.006832
                    130,                 0.6179,                 0.4794,                 1.2145,                      1,                0.99404,                  0.995,                0.82228,                0.68161,                0.38998,                 1.3746,              0.0068073,              0.0068073,              0.0068073
                    131,                0.63958,                0.49732,                 1.2563,                0.99393,                0.94118,                0.94816,                 0.8027,                0.71144,                0.38931,                 1.3987,              0.0067825,              0.0067825,              0.0067825
                    132,                0.63297,                0.45882,                 1.2254,                      1,                0.99506,                  0.995,                0.81301,                0.62939,                0.38764,                  1.276,              0.0067577,              0.0067577,              0.0067577
                    133,                0.61987,                0.46289,                 1.2334,                      1,                0.99808,                  0.995,                0.82069,                0.69745,                0.36986,                  1.368,               0.006733,               0.006733,               0.006733
                    134,                0.62465,                0.47516,                 1.2714,                      1,                0.98856,                  0.995,                0.80494,                0.69788,                0.47339,                 1.3458,              0.0067082,              0.0067082,              0.0067082
                    135,                0.61609,                0.47406,                 1.2257,                0.99642,                      1,                  0.995,                0.80447,                0.68659,                0.44256,                 1.3458,              0.0066835,              0.0066835,              0.0066835
                    136,                0.61229,                0.46315,                 1.2301,                0.97451,                0.94118,                0.95376,                0.80186,                0.70691,                0.39041,                 1.4546,              0.0066587,              0.0066587,              0.0066587
                    137,                0.62692,                0.47312,                 1.2326,                0.99052,                0.94118,                0.98974,                0.80561,                0.73823,                0.44967,                 1.5132,               0.006634,               0.006634,               0.006634
                    138,                0.61831,                0.46853,                 1.2353,                      1,                0.99622,                  0.995,                0.81879,                0.70273,                0.37838,                  1.417,              0.0066092,              0.0066092,              0.0066092
                    139,                0.60244,                0.46454,                    1.2,                0.99472,                0.94118,                  0.979,                0.80374,                0.73482,                0.49743,                 1.4503,              0.0065845,              0.0065845,              0.0065845
                    140,                0.61095,                0.47145,                 1.2194,                0.97622,                0.94118,                0.96167,                 0.8254,                0.66376,                0.48117,                 1.3873,              0.0065598,              0.0065598,              0.0065598
                    141,                0.60565,                0.46635,                 1.2306,                 0.9441,                0.99384,                0.99222,                0.83865,                0.64095,                0.40386,                  1.356,               0.006535,               0.006535,               0.006535
                    142,                0.58917,                0.44129,                 1.2225,                      1,                0.99634,                  0.995,                0.82251,                0.66569,                0.41144,                 1.3958,              0.0065102,              0.0065102,              0.0065102
                    143,                0.58776,                 0.4427,                 1.2055,                      1,                0.99932,                  0.995,                0.78426,                0.80952,                0.38576,                 1.5565,              0.0064855,              0.0064855,              0.0064855
                    144,                0.58972,                0.44145,                 1.1942,                0.99901,                      1,                  0.995,                0.81117,                0.68692,                0.41974,                 1.4361,              0.0064608,              0.0064608,              0.0064608
                    145,                0.60245,                0.46223,                 1.2054,                      1,                0.99682,                  0.995,                 0.8105,                0.68242,                0.40746,                 1.3826,               0.006436,               0.006436,               0.006436
                    146,                0.58426,                 0.4327,                 1.2142,                0.98163,                0.94118,                 0.9484,                 0.7782,                 0.7578,                0.43103,                 1.4808,              0.0064112,              0.0064112,              0.0064112
                    147,                0.59326,                0.43437,                 1.1921,                      1,                 0.9964,                  0.995,                0.79567,                0.71157,                0.42295,                  1.431,              0.0063865,              0.0063865,              0.0063865
                    148,                0.57092,                0.41808,                 1.1989,                0.94114,                      1,                0.99222,                 0.8126,                0.73269,                0.48475,                 1.4348,              0.0063618,              0.0063618,              0.0063618
                    149,                 0.5761,                0.43383,                 1.2144,                0.94363,                      1,                0.99222,                0.84353,                0.63862,                0.37146,                 1.3309,               0.006337,               0.006337,               0.006337
                    150,                0.60591,                0.45336,                 1.2102,                0.94421,                0.99586,                0.99222,                0.84281,                 0.6648,                0.35368,                 1.3732,              0.0063122,              0.0063122,              0.0063122
                    151,                0.58316,                 0.4383,                 1.2184,                 0.9861,                0.94118,                0.98974,                 0.8262,                0.69555,                0.52691,                 1.3581,              0.0062875,              0.0062875,              0.0062875
                    152,                0.58542,                0.42829,                 1.2225,                0.93479,                      1,                0.99222,                0.82506,                0.68351,                0.46505,                  1.386,              0.0062628,              0.0062628,              0.0062628
                    153,                0.57948,                0.42873,                 1.1822,                0.99757,                      1,                  0.995,                0.82613,                0.71486,                0.44362,                 1.4368,               0.006238,               0.006238,               0.006238
                    154,                0.58217,                0.44347,                 1.1943,                      1,                0.99739,                  0.995,                0.80395,                0.70364,                0.55386,                 1.4257,              0.0062132,              0.0062132,              0.0062132
                    155,                0.56845,                0.44209,                 1.1799,                0.98907,                0.94118,                0.94714,                0.83216,                0.67489,                0.40104,                 1.3533,              0.0061885,              0.0061885,              0.0061885
